"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7052129340082","34.1293283488329","46.3822373202036","64.3593801547637","71.7609445506319","68.6187974573829","59.3010678787434","55.9203451045593","61.5203154968646","57.4471764388922","62.7857591464102","70.0376655125462","57.9877862332958","56.6476333280113","49.7615138605683","48.0105948140456","47.0157850973408","46.6122725237781","51.7694607543656","54.0222795288","53.1201587033561","53.5630899484731","50.9926632939062","44.7630902712751","48.0270677989147","55.8145568976783","59.1991901447577","59.8709600659714","56.1870697457608","60.3793873426584","72.4062585139894","88.108888074048","116.19603166762",
"American Samoa","ASM","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170.703125","204.389312977099","203.339882121807","176","203.853955375254","152.702702702703","161.607142857143","143.111111111111","118.848167539267","113.157894736842","127.8125","135.8934169279","148.833592534992","156.612184249629","155.439642324888","162.091503267974","161.189358372457","164.605873261206","162.968099861304","146.4","117.680826636051","","",
"Antigua and Barbuda","ATG","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","52.8981698284513","61.3352404189979","91.243959311953","86.0690118002349","101.078467831908","96.128170894526","69.780021637216","70.6830953959999","74.2784125075165","76.2863757436957","76.6865270036517","64.9009245838472","45.696803013906","57.6539217354975","68.4066357741369","71.7912911006729","68.0617302542412","61.7519493754888","64.7672754818618","59.3396884952664","56.7793276649823","53.3053839985369","54.0964640487241","50.9431868163488","48.6457748766872","48.8813741056148","49.256407551946","49.7890721701569","51.4906816209706","53.5409895679447","52.9117788407667","51.8733221895412","42.1920076931296","42.1304563633563","37.751699574495","40.6673957940387","43.153647550603","45.7675063330925","35.8264561824792","36.1841205590351","37.462808660967","43.6344911984271","42.8046449464862","36.8366645502201","38.3864957209634","45.1095594406843","43.6238140785358","38.7747386590667",
"Australia","AUS","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","25.2848259150189","24.00431409579","24.5365282442748","25.869769063441","26.7286530730195","26.0126719722736","24.8013801998444","24.2787829763785","24.087879684135","23.8389171574904","23.7370478409091","23.0567865477839","22.0442113285365","26.5193538042171","25.8154404830838","23.2397184539492","24.1661019924042","24.322946708464","25.2678192951106","27.2803210480731","29.5225269834205","26.9215168336818","24.715027169747","23.4171524092193","25.3058153229161","26.8122872181248","26.6399133224604","29.48398821129","29.3189898348893","27.3285893593884","26.2111420317786","25.5814346304587","26.575314901327","28.2497752041147","31.2287467418241","31.0241944103794","31.2785383046394","29.5199482728377","30.1035418540863","32.0836966080553","32.4774197025502","33.4617008694008","34.7402011853211","34.0352513040062","31.828345975775","33.2052504083372","35.0389578661532","35.8034920114091","36.6130325382876","34.3222954443053","35.9435184474478","36.7395646468253","33.3358364239858","31.2628205054939","32.3682404723974","29.1998300964504","32.0880496334806","34.5566356606503","34.3638645983702","35.2250251981782","34.6984435892602","38.8326417356959","42.5725570561367","37.9839441686945","36.2641353501553",
"Austria","AUT","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","38.2845252932187","36.5749111375611","36.1347957420112","35.6665313196941","35.9141109407736","36.8564580409001","36.6743487772272","35.3945196875477","35.8803906166077","38.3733963409361","41.8343049860508","41.3637170408748","41.4095203093822","42.1838741372524","46.1692494725544","42.3860271261429","46.805797652089","46.8468855202585","45.6145622432879","48.518830556543","51.3020349514915","52.12844356851","49.5013022945926","48.5115727817442","52.2275445162494","55.3063766287468","50.0475152004694","48.4241486377058","50.6335309909212","53.4647923880922","54.5264167955934","53.1015933212552","50.7678210143466","47.3601706999501","49.4406517596623","51.6359894340625","53.7086728775078","59.2859186675961","61.5424416251076","63.4788150763818","71.4154641008573","73.9953515963242","73.752136507463","75.4191751435435","79.6366004917505","80.4290925917771","82.0479467147267","84.459832973474","85.1707134306561","70.1374731871587","79.9247792532452","85.9869277874227","84.8490685366677","84.0247028809348","82.1557526708522","81.3534909714603","78.6885817672096","82.8535414874395","83.6393743645607","82.0409525855442","78.6990993444962","87.8991813719515","94.1310124821577","87.1555452861932","79.6446130606383",
"Azerbaijan","AZE","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","577.746519781747","103.732022292994","120.103145182813","53.9024194863624","50.0864569640635","39.7237770319476","37.8061326512818","42.8922371592805","55.3235842182234","65.6140824177891","61.464818342268","71.71115690198","82.1505378068509","90.5897910081853","87.1416520681525","82.6459298531408","78.1146148709925","62.337970065868","62.7904796891558","67.7166131216159","61.7839183230216","56.6662386717542","49.771540116684","48.6262822287606","57.033833622396","59.3736297126154","67.4619691242571","69.1303137386106","57.3044761436301","61.8527046281673","66.855336945512","70.6683429655547","64.06705873972",
"Burundi","BDI","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","14.2857150145773","12.3152714212915","13.1147537297961","11.6004297452239","9.9712365109496","16.9816700459181","18.1329612334558","19.0692904301006","20.7423580786026","17.349636483807","18.9508971660758","19.3796697659072","23.5003750798781","20.043403898978","21.4329060850696","22.3284981313739","26.5380498298669","29.952392741618","27.3669298965956","32.7157943164827","25.3336136098406","24.3538322887787","29.7072047373616","24.1937054183473","29.2763791454756","26.1743845062","29.6240697954097","26.779405453349","31.1344232844621","23.7897710234634","27.0293844582676","29.5528910136009","27.0535372824446","28.1260204064363","37.1879593671436","33.8854836659977","19.1016723679209","21.2766773628938","24.9504699547726","21.2850944224857","22.7459126297585","20.3012170713163","19.2635153563911","24.8517046651251","24.364732660379","29.2718799852513","38.4018823892664","27.8720078703353","28.5388861396267","26.4151682452017","30.0176879175002","39.1356543294187","38.0252256395111","36.9142969969304","33.2985115877981","34.79767113384","28.3030421218661","32.7404242830296","33.3972743148686","37.1575637155146","33.1800084285133","34.579132215953","36.3461351453621","41.0382053898357","38.8329599980013",
"Belgium","BEL","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133.191745594117","154.515899500002","155.868643729224","160.396403255545","154.224754909744","160.472207642901","169.322013039909","175.961465734961","178.906426192097","181.34468665172","149.168522018915","165.893097451447","178.797608387878","177.576543183649","175.623396677852","172.102909290737","167.526247855182","163.94467948923","167.468619971528","170.168592253503","163.172165690893","154.563817626319","180.125749668968","209.827750046798","172.556610796115","156.416562001153",
"Benin","BEN","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","21.6626692436385","16.9730139743674","16.072073672237","18.1153928841616","16.3072278236293","16.5569378362186","14.1949217200159","20.5733127103452","22.0640214677975","24.7922706631898","29.0743232880793","35.5146461275158","31.1942633307995","30.7310374010584","32.632906123049","32.5025417562362","34.9365855622091","39.8640208203444","36.3893391215627","30.8540237006618","28.0376788666011","44.6898751309254","38.4925232936601","35.1486404229399","43.2865834608339","50.6831326440405","43.0356356866176","38.9781895664192","49.0049016591586","42.534938100119","28.2147847971546","28.7449222420805","53.8542887525788","41.9861777651601","51.8748813647502","53.7419531504136","50.0610632865581","48.714861258469","46.5562871151984","31.8432020175069","28.5512057910914","27.194202295417","27.9662413816201","26.7887616317878","23.6338626598435","24.3009112245372","27.921082167737","37.7522552869041","36.4844386658282","33.7727295964945","34.9856244790097","33.0954235793169","33.9455922757116","39.8790682467891","48.0860145999601","37.257991006643","39.3027165030984","44.9547686797708","54.1212953053287","48.5280171335178","41.7613807154525","46.0774167090461","49.5426072162145","47.2823789270459","41.9035949346763",
"Burkina Faso","BFA","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","4.53936332757709","9.13640333735807","11.328695264956","11.6739219679543","12.6729848737194","12.2955629240797","12.44555742073","11.9799289987198","14.1168491757434","15.6805796383234","14.6159197384765","14.9250272622547","15.3820754944449","18.2283369549167","23.9637849552683","20.7452832706297","20.1731163030034","23.3375348341636","18.2978444445746","21.6187697800576","23.2796894326336","23.2002578275997","22.970160329115","21.808702488056","22.7415931411497","25.9582458051697","23.9649951054305","24.8540515476204","22.7825220896199","18.5809098921631","22.18423974725","20.3824787506792","15.7893521429708","18.065116815534","24.0596345001167","30.7205075815327","34.0221452293093","33.4604052217241","37.4701099157711","27.5256420390002","27.6245877637062","27.5516539517684","27.2198982114431","26.2826605837119","32.0818034253821","28.1142321513942","29.1259771378001","30.174188719598","28.6834735616135","29.3100078980746","35.9954191486557","39.7755155082652","45.8322828867029","49.9914443825335","43.2402857948083","44.4213085692402","45.6154788056682","47.749494530721","47.5454280352741","46.922519234808","47.9435540216211","49.0264856775805","53.8168468408676","51.5149337057476","52.1908799657735",
"Bangladesh","BGD","Merchandise trade (% of GDP)","TG.VAL.TOTL.GD.ZS","","","","","","","","","","","","","14.9962329717218","16.6198291494372","11.3966393560552","8.47372740232484","13.3733798903113","16.982433373833","15.5175134289897","16.491620861715","18.5135677067566","17.2348283365571","17.4517156948571","16.4063376124247","19.8511271169779","15.8943026971595","15.7343379958697","15.5650464195295","16.2985781785075","17.215791232318","16.7382206462125","16.4774372759361","18.3860199222363","19.715665420271","22.3165497327731","26.8715537948486","24.2923519507364","25.0703144417174","25.239794315337","26.9706383826304","28.6154409962779","27.963769792371","26.9369527975655","28.9632814864025","31.2416753197285","33.3726748609199","38.7711046422774","39.0005758704306","42.8102198080366","36.0243405832995","40.7848880856189","47.1613306709726","44.4825350288943","44.1329734101955","41.370467797258","38.1385053984415","30.0371931294657","30.1931233743973","31.0387558116495","28.0245241879077","23.1052807219051","29.9494334110044","30.3476164135234","25.399201082728","25.5765452006502",
